U,V,W,U_x,U_y,U_z,V_x,V_y,V_z,W_x,W_y,W_Z,UU,UV,UW,VV,VW,WW
1.033336043,0.002500962,0.000143399564,0.0,-0.07685018331,2.108584166,0.0,0.0214028731,0.0307759624,0.0,-0.03040729277,-0.006376728881,0.02125895768,-0.003847632324,0.0001369007077,0.003413667204,3.467318311e-05,0.006221774966
1.049177647,0.002737804549,0.0001048035047,0.0,-0.07585199922,1.899142265,0.0,0.02101318724,0.0285591539,0.0,-0.02786771581,-0.004617780913,0.01986472309,-0.003814634401,0.0001243585721,0.00354068866,3.359988477e-05,0.006208066829
1.063986301,0.002961878199,6.887319614e-05,0.0,-0.07481957227,1.721871138,0.0,0.02017272078,0.02532847039,0.0,-0.02479520068,-0.005420062691,0.01861202344,-0.003769456409,0.0001162588014,0.003632503329,3.352197018e-05,0.006172831636
1.078248024,0.0031654255,1.329649967e-05,0.0,-0.07328315079,1.593798876,0.0,0.01934468746,0.02126675658,0.0,-0.02063691989,-0.003851201851,0.01745056547,-0.003712960985,0.0001124558767,0.003696609288,3.463853864e-05,0.006119452417
1.092137575,0.003337512957,8.494082522e-07,0.0,-0.06968676299,1.485148072,0.0,0.01769873127,0.01664287411,0.0,-0.01531701908,-0.003555007046,0.01638111658,-0.003649114864,0.0001097199056,0.003735624487,3.658020796e-05,0.006046042778
1.105690598,0.003472952638,-5.239294114e-05,0.0,-0.06600230187,1.388261318,0.0,0.01635478809,0.01168412622,0.0,-0.008662492037,-0.003038304858,0.01537761837,-0.003570002737,0.0001122967296,0.003748758463,3.737669249e-05,0.005948876962
1.118972659,0.003563367063,-5.788101043e-05,0.0,-0.06331112236,1.300474405,0.0,0.01555339806,0.006833256222,0.0,-0.00523397373,-0.001847261214,0.01444749907,-0.003482411616,0.0001142187321,0.003739396343,3.749998359e-05,0.005826400593
1.131988764,0.003611134598,-8.974821685e-05,0.0,-0.05882420018,1.222871542,0.0,0.01370074879,0.002649768023,0.0,-0.0006781709963,-0.002569867996,0.01358765084,-0.003381179413,0.0001152039404,0.003705950221,3.537644807e-05,0.005673398729
1.144842505,0.003619422903,-0.0001122465692,0.0,-0.05445960537,1.160307884,0.0,0.01128738839,-0.001485615037,0.0,0.003332417691,-0.0009246366681,0.01279038843,-0.003268952481,0.0001131143799,0.003651106032,3.386543176e-05,0.00549945794
1.15766871,0.003578254953,-0.0001102122842,0.0,-0.04905768111,1.10854876,0.0,0.008079862222,-0.005905447528,0.0,0.008033297025,0.001171851181,0.01203433145,-0.00314690941,0.0001078420901,0.003579061246,3.310875036e-05,0.005311078858
1.170508742,0.003482694039,-8.511469059e-05,0.0,-0.04518238828,1.058566093,0.0,0.005983039271,-0.01042086445,0.0,0.01148970239,-0.0002401387173,0.01131428219,-0.003016487695,0.0001003229336,0.00349287712,3.255026968e-05,0.005109464284
1.183308244,0.003325851168,-0.0001160286847,0.0,-0.04025019705,1.011657953,0.0,0.004858584609,-0.0145737296,0.0,0.01593552344,-0.002815733664,0.01062120218,-0.002872325946,9.252120799e-05,0.003395747161,3.013588139e-05,0.004894356709
1.19614315,0.003113410203,-0.0001564625854,0.0,-0.03588560224,0.9688114524,0.0,0.00237765722,-0.01843516342,0.0,0.02061280049,-0.003812799696,0.009949112311,-0.00271908869,8.746521053e-05,0.003289913526,2.707137355e-05,0.004665050656
1.208989501,0.002837171778,-0.0002170983935,0.0,-0.03421217948,0.924891293,0.0,0.0008976924,-0.02099020779,0.0,0.02288130671,-0.005027269013,0.009293228388,-0.002556965686,8.888175944e-05,0.003176573431,2.542294897e-05,0.004425412044
1.221792221,0.002531310078,-0.0002958787372,0.0,-0.03381584212,0.8803268671,0.0,-0.002375946613,-0.023017684,0.0,0.02565438673,-0.002986580366,0.00865534693,-0.002384707564,9.205646347e-05,0.003057851689,2.480547846e-05,0.004184745252
1.234528661,0.002169405809,-0.0003037420684,0.0,-0.0347895585,0.8342096806,0.0,-0.00421413593,-0.02408996038,0.0,0.02609248832,0.002785302233,0.008034283295,-0.002206875943,0.0001009840707,0.002938050544,2.539977686e-05,0.003944878932
1.247109652,0.001800203812,-0.000211347593,0.0,-0.03703546524,0.7849845886,0.0,-0.006094002165,-0.02378048003,0.0,0.02515329234,0.008507817984,0.00742982747,-0.002022813773,0.0001012533321,0.002817643574,2.499048787e-05,0.003702554852
1.259452701,0.00141435198,-3.361039853e-05,0.0,-0.04130220413,0.7325040698,0.0,-0.006306013558,-0.02297678404,0.0,0.02262938395,0.01124875899,0.006837299094,-0.001831132919,9.919893637e-05,0.002700271551,2.370682159e-05,0.00345995184
1.271440506,0.001037006965,0.0001622911805,0.0,-0.04457565024,0.6750995517,0.0,-0.005467329174,-0.02113942243,0.0,0.02055916935,0.009661068209,0.006276113912,-0.001636529807,9.221438813e-05,0.002588187112,1.978935325e-05,0.003223503008
1.282911062,0.0006797992392,0.0003020924341,0.0,-0.05203265324,0.608849287,0.0,-0.003679869464,-0.01791549847,0.0,0.01703190617,0.005363298114,0.005750068463,-0.00143858057,8.496653754e-05,0.002485784469,1.708318086e-05,0.003000061261
1.293572783,0.0003857607953,0.0003572524001,0.0,-0.05981259793,0.5343337059,0.0,-0.002060739323,-0.01295604836,0.0,0.01238492504,0.002379268873,0.005260938313,-0.001242957544,7.673623622e-05,0.002396445256,1.789827002e-05,0.002796894871
1.303231239,0.0001870936831,0.0003925736528,0.0,-0.06788612157,0.4572974741,0.0,-0.001319432165,-0.008453234099,0.0,0.007468023803,0.002316847909,0.0048059728,-0.001050569466,6.792047498e-05,0.002317873994,2.045747533e-05,0.002613610821
1.311765909,4.945727051e-05,0.0004494258901,0.0,-0.07313635945,0.3781783879,0.0,-0.0002353700402,-0.005890780594,0.0,0.004883520771,0.001410841243,0.004395433702,-0.0008587897755,6.308448792e-05,0.002247123281,2.190788109e-05,0.002453858731
1.318970799,-5.807710841e-05,0.0004512920277,0.0,-0.07981537282,0.2899457514,0.0,0.001624896657,-0.00432525808,0.0,0.003561019432,-0.0008458088269,0.004037071951,-0.0006654493627,6.702174142e-05,0.002185216872,2.124571802e-05,0.002321193693
